AnimalNo,WHHeightAtWither,Rumpheight,BLBodylengthcm,Scapuloischiallength,SternumHeight,ChestDepth,RumpWidth,RumpLength,HeartGirth,AbdGirth,CannonBoneDiameter,HockBoneDiameter,ActualBodyWeight
436,132,139,190,150,58,83,43,40,172,217,18,40,379
26,131,140,183,150,58,85,42,38,172,215,18,40,398
2,143,147,197,154,67,95,41,30,188,217,18,51,407
11112,139,146,202,174,78,82,45,36,185,203,17,56,412
8,144,160,185,152,67,84,43,36,179,216,19,46,413
550482,135,140,180,169,61,85,40,42,171,223,18,41,414
5615,139,143,208,149,64,96,47,35,194,225,20,42,427
4062,146,157,202,167,64,97,47,34,194,208,19,48,435
550460,131,140,206,161,57,85,42,34,179,223,18,42,440
4421,135,150,205,152,64,85,40,28,182,220,20,44,440
3655,147,153,220,170,65,90,48,35,190,216,19,40,450
4433,147,159,202,170,67,89,40,32,191,222,19,45,455
4264,135,152,193,165,62,97,42,35,196,231,18,44,456
3460,142,151,198,155,59,94,40,38,194,228,20,45,460
3564,149,158,205,168,72,102,41,38,185,217,20,47,460
2537,143,149,209,178,60,99,51,33,189,211,20,41,460
3620,149,155,210,176,68,100,45,49,198,226,20,54,463
3175,148,150,187,168,65,94,51,33,189,232,19,40,465
55048,137,143,179,145,54,86,42,33,185,225,19,51,465
3614,153,156,190,174,73,93,39,36,191,206,19,50,467
4955,146,152,195,163,58,95,35,36,187,207,18,43,467
3526,147,153,204,171,76,98,46,37,183,230,20,47,468
1118,143,154,182,148,66,89,43,28,187,225,23,47,473
34,145,158,211,158,66,94,44,41,186,226,20,45,476
4319,146,154,195,172,67,88,41,40,193,233,19,46,477
2228,154,162,208,171,62,98,47,41,192,229,21,47,478
4399,149,158,192,166,68,92,44,35,182,224,18,41,480
550391,137,146,194,153,60,88,42,36,183,226,18,46,480
4366,153,162,204,166,69,90,42,36,179,225,19,43,481
85,148,155,196,163,64,88,43,34,181,225,20,46,481
4530,147,158,210,168,66,92,41,37,188,229,20,44,482
4581,143,155,208,175,66,89,42,37,187,228,19,50,483
6162,141,152,177,148,64,91,44,32,193,234,21,47,486
4186,142,150,190,159,64,91,40,35,183,222,19,44,486
3224,144,158,204,169,66,91,53,30,185,226,20,45,488
4492,146,156,208,161,66,88,41,37,194,240,20,49,490
3587,146,152,202,156,67,95,36,33,192,242,19,45,490
5768,143,153,208,173,60,93,40,32,189,233,20,45,490
4289,149,160,208,172,70,95,44,32,184,218,21,48,490
65240,146,158,206,166,68,97,42,36,195,243,22,47,492
2343,135,143,202,163,57,92,40,32,186,237,20,45,492
4056,148,158,209,181,70,101,42,37,184,223,18,48,492
2267,146,158,200,162,59,85,41,38,183,216,18,41,492
2970,142,154,210,175,66,93,44,37,188,245,18,48,494
3135,147,153,210,169,61,95,54,33,195,231,21,44,495
3760,160,165,207,172,64,93,45,36,189,213,21,54,495
7625,140,156,220,158,64,89,42,37,193,230,19,43,498
