HeartGirth,AbdGirth,ChestDepth,ActualBodyWeight,HG_to_AG,HG_to_CD,AG_to_CD,HG_minus_AG,HG_minus_CD,AG_minus_CD,HGxAG,HGxCD,AGxCD
172,217,83,379,0.7926267281069465,2.0722891566015385,2.6144578312938016,-45,89,134,37324,14276,18011
172,215,85,398,0.7999999999962791,2.0235294117408995,2.5294117646761243,-43,87,130,36980,14620,18275
188,217,95,407,0.8663594470006158,1.9789473684002215,2.284210526291745,-29,93,122,40796,17860,20615
185,203,82,412,0.9113300492565944,2.2560975609480964,2.4756097560673704,-18,103,121,37555,15170,16646
179,216,84,413,0.8287037036998671,2.1309523809270123,2.571428571397959,-37,95,132,38664,15036,18144
171,223,85,414,0.7668161434943193,2.011764705858685,2.623529411733841,-52,86,138,38133,14535,18955
194,225,96,427,0.8622222222183902,2.0208333333122828,2.3437499999755858,-31,98,129,43650,18624,21600
194,208,97,435,0.9326923076878236,1.9999999999793814,2.14432989688511,-14,97,111,40352,18818,20176
179,223,85,440,0.8026905829560418,2.1058823529164012,2.623529411733841,-44,94,138,39917,15215,18955
182,220,85,440,0.827272727268967,2.1411764705630447,2.5882352940871973,-38,97,135,40040,15470,18700
190,216,90,450,0.8796296296255574,2.1111111110876544,2.3999999999733332,-26,100,126,41040,17100,19440
191,222,89,455,0.8603603603564849,2.146067415706224,2.494382022443883,-31,102,133,42402,16999,19758
196,231,97,456,0.8484848484811754,2.0206185566801995,2.381443298944521,-35,99,134,45276,19012,22407
194,228,94,460,0.8508771929787242,2.0638297872120868,2.4255319148678134,-34,100,134,44232,18236,21432
185,217,102,460,0.8525345622080529,1.8137254901782967,2.1274509803712993,-32,83,115,40145,18870,22134
189,211,99,460,0.895734597152153,1.9090909090716253,2.131313131291603,-22,90,112,39879,18711,20889
198,226,100,463,0.876106194686389,1.9799999999801998,2.2599999999774,-28,98,126,44748,19800,22600
189,232,94,465,0.8146551724102817,2.0106382978509507,2.4680851063567224,-43,95,138,43848,17766,21808
185,225,86,465,0.8222222222185679,2.151162790672661,2.6162790697370197,-40,99,139,41625,15910,19350
191,206,93,467,0.9271844660149167,2.0537634408381313,2.215053763417042,-15,98,113,39346,17763,19158
187,207,95,467,0.9033816425077131,1.9684210526108588,2.1789473683981164,-20,92,112,38709,17765,19665
183,230,98,468,0.7956521739095842,1.8673469387564556,2.346938775486256,-47,85,132,42090,17934,22540
187,225,89,473,0.8311111111074173,2.1011235954820098,2.528089887612044,-38,98,136,42075,16643,20025
186,226,94,476,0.8230088495538805,1.9787234042342687,2.404255319123359,-40,92,132,42036,17484,21244
193,233,88,477,0.8283261802539558,2.1931818181568956,2.647727272697185,-40,105,145,44969,16984,20504
192,229,98,478,0.838427947594592,1.959183673449396,2.336734693853707,-37,94,131,43968,18816,22442
182,224,92,480,0.8124999999963728,1.9782608695437145,2.434782608669187,-42,90,132,40768,16744,20608
183,226,88,480,0.8097345132707534,2.0795454545218233,2.568181818152634,-43,95,138,41358,16104,19888
179,225,90,481,0.7955555555520198,1.98888888886679,2.499999999972222,-46,89,135,40275,16110,20250
181,225,88,481,0.8044444444408692,2.056818181794809,2.556818181789127,-44,93,137,40725,15928,19800
188,229,92,482,0.8209606986863713,2.0434782608473534,2.4891304347555527,-41,96,137,43052,17296,21068
187,228,89,483,0.820175438592894,2.1011235954820098,2.5617977527802043,-41,98,139,42636,16643,20292
193,234,91,486,0.8247863247828001,2.1208791208558146,2.571428571400314,-41,102,143,45162,17563,21294
183,222,91,486,0.8243243243206112,2.010989010966912,2.439560439533631,-39,92,131,40626,16653,20202
185,226,91,488,0.8185840707928381,2.0329670329446925,2.483516483489192,-41,94,135,41810,16835,20566
194,240,88,490,0.8083333333299653,2.2045454545204026,2.7272727272417354,-46,106,152,46560,17072,21120
192,242,95,490,0.7933884297487876,2.021052631557673,2.547368421025817,-50,97,147,46464,18240,22990
189,233,93,490,0.8111587982797804,2.0322580644942767,2.5053763440590817,-44,96,140,44037,17577,21669
184,218,95,490,0.8440366972438348,1.93684210524277,2.294736842081108,-34,89,123,40112,17480,20710
195,243,97,492,0.8024691357991668,2.0103092783297907,2.5051546391494313,-48,98,146,47385,18915,23571
186,237,92,492,0.7848101265789671,2.021739130412807,2.576086956493738,-51,94,145,44082,17112,21804
184,223,101,492,0.8251121076196184,1.8217821781997843,2.2079207920573474,-39,83,122,41032,18584,22523
